timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/03/16 18:46:18.666, 0 %, 2 MiB, 11.48 W, 210 MHz
2026/03/16 18:46:23.668, 0 %, 2 MiB, 11.55 W, 210 MHz
2026/03/16 18:46:28.670, 1 %, 22 MiB, 11.55 W, 2550 MHz
2026/03/16 18:46:33.673, 0 %, 2960 MiB, 41.06 W, 2550 MHz
2026/03/16 18:46:38.674, 80 %, 11258 MiB, 191.52 W, 2415 MHz
2026/03/16 18:46:43.676, 82 %, 11258 MiB, 190.08 W, 2640 MHz
2026/03/16 18:46:48.678, 81 %, 11258 MiB, 186.71 W, 2730 MHz
2026/03/16 18:46:53.679, 64 %, 11258 MiB, 175.92 W, 2355 MHz
2026/03/16 18:46:58.681, 73 %, 11258 MiB, 178.60 W, 2340 MHz
2026/03/16 18:47:03.683, 70 %, 11258 MiB, 181.21 W, 2355 MHz
2026/03/16 18:47:08.688, 75 %, 11258 MiB, 178.58 W, 2490 MHz
2026/03/16 18:47:13.690, 74 %, 11258 MiB, 178.38 W, 2610 MHz
2026/03/16 18:47:18.691, 70 %, 11258 MiB, 168.45 W, 2310 MHz
2026/03/16 18:47:23.693, 78 %, 11258 MiB, 192.48 W, 2325 MHz
2026/03/16 18:47:28.712, 79 %, 11258 MiB, 190.84 W, 2610 MHz
2026/03/16 18:47:33.714, 90 %, 11258 MiB, 192.54 W, 2415 MHz
2026/03/16 18:47:38.718, 83 %, 11258 MiB, 194.71 W, 2310 MHz
2026/03/16 18:47:43.720, 19 %, 11258 MiB, 172.02 W, 2685 MHz
2026/03/16 18:47:48.722, 76 %, 11258 MiB, 186.68 W, 2640 MHz
2026/03/16 18:47:53.724, 64 %, 11258 MiB, 186.76 W, 2295 MHz
2026/03/16 18:47:58.742, 81 %, 11258 MiB, 191.89 W, 2700 MHz
2026/03/16 18:48:03.744, 80 %, 11258 MiB, 197.38 W, 2385 MHz
2026/03/16 18:48:08.750, 86 %, 11258 MiB, 195.37 W, 2460 MHz
2026/03/16 18:48:13.751, 79 %, 11258 MiB, 196.43 W, 2700 MHz
2026/03/16 18:48:18.753, 76 %, 11258 MiB, 195.14 W, 2700 MHz
2026/03/16 18:48:23.754, 86 %, 11258 MiB, 197.15 W, 2355 MHz
2026/03/16 18:48:28.756, 79 %, 11258 MiB, 191.91 W, 2700 MHz
2026/03/16 18:48:33.761, 82 %, 11258 MiB, 197.67 W, 2280 MHz
2026/03/16 18:48:38.762, 84 %, 11258 MiB, 194.71 W, 2370 MHz
2026/03/16 18:48:43.764, 75 %, 11258 MiB, 196.94 W, 2700 MHz
2026/03/16 18:48:48.766, 41 %, 11258 MiB, 182.93 W, 2655 MHz
2026/03/16 18:48:53.767, 85 %, 11258 MiB, 199.58 W, 2415 MHz
2026/03/16 18:48:58.769, 88 %, 11258 MiB, 195.85 W, 2280 MHz
2026/03/16 18:49:03.771, 83 %, 11258 MiB, 194.97 W, 2700 MHz
2026/03/16 18:49:08.779, 79 %, 11258 MiB, 199.08 W, 2700 MHz
2026/03/16 18:49:13.780, 88 %, 11258 MiB, 198.32 W, 2415 MHz
2026/03/16 18:49:18.788, 83 %, 11258 MiB, 192.50 W, 2625 MHz
2026/03/16 18:49:23.790, 83 %, 11258 MiB, 193.04 W, 2565 MHz
2026/03/16 18:49:28.791, 84 %, 11258 MiB, 196.24 W, 2550 MHz
2026/03/16 18:49:33.793, 75 %, 11258 MiB, 188.25 W, 2430 MHz
2026/03/16 18:49:38.821, 87 %, 11258 MiB, 195.35 W, 2700 MHz
2026/03/16 18:49:43.823, 83 %, 11258 MiB, 198.68 W, 2325 MHz
2026/03/16 18:49:48.824, 81 %, 11258 MiB, 193.60 W, 2700 MHz
2026/03/16 18:49:53.826, 82 %, 11258 MiB, 180.57 W, 2610 MHz
2026/03/16 18:49:58.828, 75 %, 11258 MiB, 197.65 W, 2280 MHz
2026/03/16 18:50:03.830, 82 %, 11258 MiB, 194.07 W, 2700 MHz
2026/03/16 18:50:08.832, 80 %, 11258 MiB, 196.40 W, 2265 MHz
2026/03/16 18:50:13.834, 78 %, 11258 MiB, 194.39 W, 2700 MHz
2026/03/16 18:50:18.835, 80 %, 11258 MiB, 194.20 W, 2280 MHz
2026/03/16 18:50:23.837, 84 %, 11258 MiB, 197.65 W, 2610 MHz
2026/03/16 18:50:28.839, 85 %, 11258 MiB, 197.81 W, 2685 MHz
2026/03/16 18:50:33.845, 77 %, 11258 MiB, 192.81 W, 2490 MHz
2026/03/16 18:50:38.846, 74 %, 11258 MiB, 184.54 W, 2700 MHz
2026/03/16 18:50:43.848, 79 %, 11258 MiB, 193.92 W, 2565 MHz
2026/03/16 18:50:48.850, 79 %, 11258 MiB, 196.64 W, 2565 MHz
2026/03/16 18:50:53.852, 74 %, 11258 MiB, 195.60 W, 2280 MHz
2026/03/16 18:50:58.854, 84 %, 11258 MiB, 180.45 W, 2280 MHz
2026/03/16 18:51:03.856, 83 %, 11258 MiB, 199.17 W, 2700 MHz
2026/03/16 18:51:08.858, 80 %, 11258 MiB, 197.10 W, 2295 MHz
2026/03/16 18:51:13.860, 87 %, 11258 MiB, 197.54 W, 2370 MHz
2026/03/16 18:51:18.861, 74 %, 11258 MiB, 192.88 W, 2610 MHz
2026/03/16 18:51:23.863, 83 %, 11258 MiB, 198.85 W, 2280 MHz
2026/03/16 18:51:28.865, 68 %, 11258 MiB, 172.76 W, 2565 MHz
2026/03/16 18:51:33.867, 0 %, 11258 MiB, 152.72 W, 2700 MHz
